CHANNEL1;CHANNEL2;CHANNEL3;ENTRY AGE;SEX;POLICY TYPE 1;POLICY TYPE 2;POLICY TYPE 3;PAYMENT MODE;POLICY STATUS;BENEFIT;NON LAPSE GUARANTEED;SUBSTANDARD RISK;NUMBER OF ADVANCE PREMIUM;INITIAL BENEFIT;Full Benefit?;Policy Year (Decimal);Policy Year;Premium;Issue Date;;
1;1;6;26;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.916666667;8; 151 ;Sep-11;;
1;1;6;22;M;2;3;A;Monthly;Lapse; 40,000 ;NO NLG;0;0;0;N;7.916666667;8; 260 ;Sep-11;;
1;1;1;47;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.916666667;8; 281 ;Sep-11;;
1;1;5;33;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.833333333;8; 151 ;Oct-11;;
1;1;20;27;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.833333333;8; 151 ;Oct-11;;
1;1;3;42;M;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.833333333;8; 141 ;Oct-11;;
1;1;1;45;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.833333333;8; 151 ;Oct-11;;
1;1;1;24;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.75;8; 65 ;Nov-11;;
1;1;1;35;M;2;3;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.75;8; 416 ;Nov-11;;
1;1;6;54;M;2;3;A;Monthly;Lapse; 50,000 ;NO NLG;0;0;0;N;7.75;8; 2,166 ;Nov-11;;
1;1;3;21;M;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.75;8; 69 ;Nov-11;;
1;1;1;26;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7.666666667;8; 200 ;Dec-11;;
1;1;1;39;M;2;3;A;Monthly;Lapse; 40,000 ;NO NLG;0;0;0;N;7.666666667;8; 315 ;Dec-11;;
1;1;1;35;F;1;1;A;Monthly;Lapse; 200,000 ;NO NLG;0;0;0;N;7.666666667;8; 432 ;Dec-11;;
1;1;10;42;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.666666667;8; 216 ;Dec-11;;
1;1;2;34;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.583333333;8; 75 ;Jan-12;;
1;1;1;40;M;1;1;A;Monthly;Lapse; 200,000 ;NO NLG;0;0;0;N;7.583333333;8; 302 ;Jan-12;;
1;1;6;27;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.5;8; 151 ;Feb-12;;
1;1;2;26;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.5;8; 65 ;Feb-12;;
1;1;1;23;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.5;8; 65 ;Feb-12;;
